api	total	focus_total	excluded_total	category:common_user_or_argument_error	category:generated_code_error	category:low_signal_unclassified_exception	category:no_embedded_error_signal	category:strong_backend_failure	category:strong_backend_failure_sparse_caveat	category:tool_or_environment_limit	status:crash	status:exception	status:notarget	status:valid
torch.BFloat16Storage	1345	0	1345	199	450	484	212	0	0	0	0	1011	122	212
torch.BoolStorage	653	0	653	50	134	264	205	0	0	0	0	396	52	205
torch.ByteStorage	647	0	647	58	152	224	213	0	0	0	0	388	46	213
torch.CharStorage	497	0	497	26	83	183	205	0	0	0	0	249	42	206
torch.ComplexDoubleStorage	707	0	707	56	136	313	202	0	0	0	0	471	34	202
torch.ComplexFloatStorage	794	0	794	91	181	311	211	0	0	0	0	452	131	211
torch.DoubleStorage	652	0	652	67	154	214	217	0	0	0	0	425	10	217
torch.FloatStorage	542	0	542	34	117	176	215	0	0	0	0	267	60	215
torch.Generator	1014	0	1014	132	432	236	214	0	0	0	0	730	70	214
torch.HalfStorage	768	0	768	75	223	267	203	0	0	0	0	520	45	203
torch.IntStorage	481	0	481	56	38	176	211	0	0	0	0	236	34	211
torch.LongStorage	669	0	669	96	79	288	205	0	0	1	0	408	56	205
torch.QInt32Storage	617	0	617	32	132	246	207	0	0	0	0	386	24	207
torch.QInt8Storage	617	0	617	68	109	214	226	0	0	0	0	379	12	226
torch.QUInt4x2Storage	1124	0	1124	102	236	583	203	0	0	0	0	847	74	203
torch.QUInt8Storage	200	0	200	13	75	99	13	0	0	0	0	149	38	13
torch.ShortStorage	899	0	899	155	178	357	209	0	0	0	0	637	53	209
torch.Tensor.abs	380	0	380	47	77	34	222	0	0	0	0	137	21	222
torch.Tensor.abs_	536	0	536	72	161	88	215	0	0	0	0	195	126	215
torch.Tensor.absolute	518	0	518	69	140	105	204	0	0	0	0	259	55	204
torch.Tensor.absolute_	354	0	354	48	80	24	202	0	0	0	0	122	30	202
torch.Tensor.acos	548	0	548	87	165	96	200	0	0	0	0	283	65	200
torch.Tensor.acos_	457	0	457	51	96	107	203	0	0	0	0	161	93	203
torch.Tensor.acosh	448	0	448	35	120	75	218	0	0	0	0	175	55	218
torch.Tensor.acosh_	664	0	664	139	200	124	201	0	0	0	0	395	68	201
torch.Tensor.add	275	0	275	23	26	15	211	0	0	0	0	60	4	211
torch.Tensor.add_	410	0	410	56	113	39	202	0	0	0	0	196	12	202
torch.Tensor.addbmm_	1319	0	1319	454	134	530	201	0	0	0	0	1075	43	201
torch.Tensor.addcdiv	485	0	485	112	57	114	202	0	0	0	0	254	29	202
torch.Tensor.addcdiv_	686	0	686	156	225	104	201	0	0	0	0	393	92	201
torch.Tensor.addcmul	284	0	284	40	22	12	210	0	0	0	0	70	4	210
torch.Tensor.addcmul_	1409	0	1409	654	310	242	203	0	0	0	0	1024	182	203
torch.Tensor.addmm	603	0	603	153	74	172	204	0	0	0	0	337	62	204
torch.Tensor.addmm_	839	0	839	275	256	106	202	0	0	0	0	557	80	202
torch.Tensor.addmv	484	0	484	133	65	85	201	0	0	0	0	245	38	201
torch.Tensor.addmv_	1129	0	1129	308	265	344	212	0	0	0	0	736	181	212
torch.Tensor.addr	478	0	478	111	56	110	201	0	0	0	0	242	35	201
torch.Tensor.addr_	384	0	384	67	31	80	206	0	0	0	0	150	28	206
torch.Tensor.all	419	0	419	98	68	52	201	0	0	0	0	191	27	201
torch.Tensor.allclose	815	0	815	162	298	149	206	0	0	0	0	534	75	206
torch.Tensor.amax	508	0	508	145	90	64	209	0	0	0	0	265	34	209
torch.Tensor.amin	735	0	735	195	197	139	204	0	0	0	0	421	110	204
torch.Tensor.aminmax	750	0	750	175	213	149	213	0	0	0	0	423	114	213
torch.Tensor.angle	358	0	358	21	82	32	223	0	0	0	0	103	32	223
torch.Tensor.any	461	0	461	84	113	53	211	0	0	0	0	224	26	211
torch.Tensor.apply_	936	0	936	318	266	148	204	0	0	0	0	416	316	204
torch.Tensor.arccos	439	0	439	65	66	88	220	0	0	0	0	211	8	220
torch.Tensor.arccos_	414	0	414	54	108	49	203	0	0	0	0	189	22	203
torch.Tensor.arccosh	349	0	349	56	74	129	90	0	0	0	0	245	14	90
torch.Tensor.arccosh_	513	0	513	160	105	47	201	0	0	0	0	265	47	201
torch.Tensor.arcsin	480	0	480	62	154	47	217	0	0	0	0	208	55	217
torch.Tensor.arcsin_	568	0	568	92	134	135	207	0	0	0	0	246	115	207
torch.Tensor.arcsinh	500	0	500	38	68	184	210	0	0	0	0	137	153	210
torch.Tensor.arcsinh_	603	0	603	133	114	146	210	0	0	0	0	268	125	210
torch.Tensor.arctan	469	0	469	77	136	52	204	0	0	0	0	246	19	204
torch.Tensor.arctan_	507	0	507	71	122	99	215	0	0	0	0	226	66	215
torch.Tensor.arctanh	408	0	408	37	72	75	224	0	0	0	0	131	53	224
torch.Tensor.arctanh_	453	0	453	48	141	58	206	0	0	0	0	207	40	206
torch.Tensor.argmax	345	0	345	45	57	41	202	0	0	0	0	121	22	202
torch.Tensor.argmin	612	0	612	71	131	199	211	0	0	0	0	364	37	211
torch.Tensor.argsort	415	0	415	65	57	90	203	0	0	0	0	168	44	203
torch.Tensor.as_strided	594	0	594	132	169	83	210	0	0	0	0	335	49	210
torch.Tensor.as_subclass	785	0	785	89	405	89	202	0	0	0	0	523	60	202
torch.Tensor.asin	395	0	395	50	77	41	227	0	0	0	0	150	18	227
torch.Tensor.asin_	532	0	532	114	113	104	201	0	0	0	0	240	91	201
torch.Tensor.asinh	273	0	273	14	34	23	202	0	0	0	0	61	10	202
torch.Tensor.asinh_	323	0	323	22	57	31	213	0	0	0	0	80	30	213
torch.Tensor.atan	405	0	405	51	110	44	200	0	0	0	0	163	42	200
torch.Tensor.atan2	415	0	415	53	84	74	204	0	0	0	0	172	39	204
torch.Tensor.atan2_	296	0	296	33	33	27	203	0	0	0	0	83	10	203
torch.Tensor.atan_	749	0	749	192	156	193	208	0	0	0	0	343	198	208
torch.Tensor.atanh	608	0	608	100	223	83	202	0	0	0	0	325	81	202
torch.Tensor.atanh_	693	0	693	77	121	285	210	0	0	0	0	435	48	210
torch.Tensor.baddbmm_	651	0	651	330	50	70	201	0	0	0	0	413	37	201
torch.Tensor.bernoulli	584	0	584	103	223	54	204	0	0	0	0	342	38	204
torch.Tensor.bernoulli_	683	0	683	147	202	133	201	0	0	0	0	379	103	201
torch.Tensor.bfloat16	428	0	428	94	56	59	219	0	0	0	0	162	47	219
torch.Tensor.bincount	665	0	665	235	128	101	201	0	0	0	0	428	36	201
torch.Tensor.bitwise_and	521	0	521	102	157	50	212	0	0	0	0	265	44	212
torch.Tensor.bitwise_and_	736	0	736	180	79	277	200	0	0	0	0	504	32	200
torch.Tensor.bitwise_left_shift	344	0	344	57	42	42	203	0	0	0	0	109	32	203
torch.Tensor.bitwise_left_shift_	707	0	707	192	201	113	201	0	0	0	0	417	89	201
torch.Tensor.bitwise_not	466	0	466	81	122	60	203	0	0	0	0	236	27	203
torch.Tensor.bitwise_not_	813	0	813	249	283	79	202	0	0	0	0	530	81	202
torch.Tensor.bitwise_or	302	0	302	59	85	67	91	0	0	0	0	186	25	91
torch.Tensor.bitwise_or_	383	0	383	52	81	29	221	0	0	0	0	155	7	221
torch.Tensor.bitwise_right_shift	531	0	531	109	128	91	203	0	0	0	0	281	47	203
torch.Tensor.bitwise_right_shift_	959	0	959	274	143	342	200	0	0	0	0	698	61	200
torch.Tensor.bitwise_xor	768	0	768	242	212	108	206	0	0	0	0	499	63	206
torch.Tensor.bitwise_xor_	834	0	834	277	229	127	201	0	0	0	0	569	64	201
torch.Tensor.bmm	526	0	526	170	31	118	207	0	0	0	0	294	25	207
torch.Tensor.bool	388	0	388	89	22	71	206	0	0	0	0	162	20	206
torch.Tensor.broadcast_to	649	0	649	139	161	130	219	0	0	0	0	391	39	219
torch.Tensor.byte	369	0	369	53	51	41	224	0	0	0	0	122	23	224
torch.Tensor.cauchy_	452	0	452	123	62	66	201	0	0	0	0	188	63	201
torch.Tensor.ceil	320	0	320	32	60	25	203	0	0	0	0	98	19	203
torch.Tensor.ceil_	646	0	646	150	235	61	200	0	0	0	0	387	59	200
torch.Tensor.char	593	0	593	98	245	39	211	0	0	0	0	332	50	211
torch.Tensor.cholesky	470	0	470	73	98	89	210	0	0	0	0	222	38	210
torch.Tensor.cholesky_inverse	645	0	645	157	128	144	216	0	0	0	0	399	30	216
torch.Tensor.cholesky_solve	942	0	942	238	267	237	200	0	0	0	0	723	19	200
torch.Tensor.chunk	911	0	911	100	444	166	201	0	0	0	0	673	37	201
torch.Tensor.clamp_	541	0	541	76	183	79	203	0	0	0	0	295	43	203
torch.Tensor.clip	368	0	368	74	37	41	216	0	0	0	0	148	4	216
torch.Tensor.clip_	379	0	379	62	80	30	207	0	0	0	0	156	16	207
torch.Tensor.clone	403	0	403	33	74	86	210	0	0	0	0	181	12	210
torch.Tensor.conj	422	0	422	65	82	71	204	0	0	0	0	202	16	204
torch.Tensor.conj_physical	629	0	629	127	204	86	212	0	0	0	0	361	56	212
torch.Tensor.conj_physical_	614	0	614	113	157	135	209	0	0	0	0	269	136	209
torch.Tensor.contiguous	686	0	686	139	239	96	212	0	0	0	0	421	53	212
torch.Tensor.copy_	452	0	452	90	74	84	204	0	0	0	0	206	42	204
torch.Tensor.copysign	331	0	331	60	35	34	202	0	0	0	0	121	8	202
torch.Tensor.copysign_	16	0	16	1	3	3	9	0	0	0	0	4	3	9
torch.Tensor.corrcoef	644	0	644	143	198	102	201	0	0	0	0	325	118	201
torch.Tensor.cos	496	0	496	57	108	128	203	0	0	0	0	171	122	203
torch.Tensor.cos_	907	0	907	122	483	99	203	0	0	0	0	597	107	203
torch.Tensor.cosh	377	0	377	54	57	66	200	0	0	0	0	144	33	200
torch.Tensor.cosh_	630	0	630	141	218	70	201	0	0	0	0	380	49	201
torch.Tensor.count_nonzero	632	0	632	155	207	60	210	0	0	0	0	365	57	210
torch.Tensor.cov	655	0	655	188	196	71	200	0	0	0	0	378	77	200
torch.Tensor.cpu	594	0	594	79	183	129	203	0	0	0	0	266	125	203
torch.Tensor.cross	296	0	296	41	34	16	205	0	0	0	0	88	3	205
torch.Tensor.cummax	472	0	472	90	120	58	203	0	0	1	0	232	37	203
torch.Tensor.cummin	664	0	664	195	177	86	206	0	0	0	0	349	109	206
torch.Tensor.cumprod	803	0	803	253	213	136	201	0	0	0	0	519	83	201
torch.Tensor.cumprod_	1196	0	1196	448	371	176	201	0	0	0	0	827	168	201
torch.Tensor.cumsum_	634	0	634	148	214	103	169	0	0	0	0	395	70	169
torch.Tensor.data_ptr	484	0	484	76	91	122	194	0	0	1	0	229	61	194
torch.Tensor.deg2rad	392	0	392	48	105	39	200	0	0	0	0	154	38	200
torch.Tensor.dense_dim	572	0	572	122	171	71	208	0	0	0	0	304	60	208
torch.Tensor.dequantize	698	0	698	86	210	198	204	0	0	0	0	470	24	204
torch.Tensor.det	1366	0	1366	483	264	418	201	0	0	0	0	893	272	201
torch.Tensor.detach	648	0	648	50	188	207	203	0	0	0	0	433	12	203
torch.Tensor.detach_	405	0	405	72	73	58	202	0	0	0	0	168	35	202
torch.Tensor.diag	555	0	555	123	101	128	203	0	0	0	0	295	57	203
torch.Tensor.diag_embed	518	0	518	96	138	84	200	0	0	0	0	267	51	200
torch.Tensor.diagflat	376	0	376	85	65	21	205	0	0	0	0	158	13	205
torch.Tensor.diagonal	672	0	672	199	223	86	164	0	0	0	0	486	22	164
torch.Tensor.diff	827	0	827	289	209	124	205	0	0	0	0	509	113	205
torch.Tensor.digamma	596	0	596	113	198	85	200	0	0	0	0	350	46	200
torch.Tensor.digamma_	363	0	363	65	123	51	124	0	0	0	0	185	54	124
torch.Tensor.dim	621	0	621	78	222	120	200	0	0	1	0	364	57	200
torch.Tensor.dist	826	0	826	313	172	140	201	0	0	0	0	518	107	201
torch.Tensor.div	461	0	461	122	96	41	202	0	0	0	0	237	22	202
torch.Tensor.div_	372	0	372	68	46	29	229	0	0	0	0	123	20	229
torch.Tensor.divide	691	0	691	170	230	82	209	0	0	0	0	411	71	209
torch.Tensor.divide_	1023	0	1023	304	366	145	208	0	0	0	0	659	156	208
torch.Tensor.dot	866	0	866	173	118	358	217	0	0	0	0	580	69	217
torch.Tensor.double	441	0	441	66	20	151	204	0	0	0	0	228	9	204
torch.Tensor.dsplit	715	0	715	160	203	140	212	0	0	0	0	412	91	212
torch.Tensor.element_size	646	0	646	200	171	74	201	0	0	0	0	383	62	201
torch.Tensor.eq	445	0	445	90	97	51	207	0	0	0	0	211	27	207
torch.Tensor.eq_	411	0	411	42	87	73	209	0	0	0	0	182	20	209
torch.Tensor.equal	866	0	866	155	377	123	211	0	0	0	0	564	91	211
torch.Tensor.erf	394	0	394	50	81	56	207	0	0	0	0	155	32	207
torch.Tensor.erf_	430	0	430	92	68	53	217	0	0	0	0	170	43	217
torch.Tensor.erfc	418	0	418	53	84	57	224	0	0	0	0	167	27	224
torch.Tensor.erfc_	344	0	344	40	45	33	226	0	0	0	0	97	21	226
torch.Tensor.erfinv	496	0	496	99	125	72	200	0	0	0	0	234	62	200
torch.Tensor.erfinv_	375	0	375	38	96	33	208	0	0	0	0	149	18	208
torch.Tensor.exp	418	0	418	46	116	49	207	0	0	0	0	195	16	207
torch.Tensor.exp_	485	0	485	58	133	79	215	0	0	0	0	177	93	215
torch.Tensor.expm1	470	0	470	73	118	78	201	0	0	0	0	229	40	201
torch.Tensor.expm1_	472	0	472	82	131	57	202	0	0	0	0	203	67	202
torch.Tensor.exponential_	788	0	788	204	242	140	202	0	0	0	0	507	79	202
torch.Tensor.fill_	1172	0	1172	571	164	237	200	0	0	0	0	805	167	200
torch.Tensor.fill_diagonal_	526	0	526	49	174	87	216	0	0	0	0	250	60	216
torch.Tensor.fix	483	0	483	103	113	63	204	0	0	0	0	230	49	204
torch.Tensor.fix_	638	0	638	135	150	153	200	0	0	0	0	269	169	200
torch.Tensor.flip	788	0	788	202	297	89	200	0	0	0	0	482	106	200
torch.Tensor.fliplr	603	0	603	174	131	87	211	0	0	0	0	295	97	211
torch.Tensor.flipud	592	0	592	122	130	126	214	0	0	0	0	351	27	214
torch.Tensor.float	607	0	607	157	113	131	206	0	0	0	0	373	28	206
torch.Tensor.float_power	512	0	512	126	117	62	207	0	0	0	0	281	24	207
torch.Tensor.floor	487	0	487	78	121	83	205	0	0	0	0	205	77	205
torch.Tensor.floor_	493	0	493	111	117	40	225	0	0	0	0	207	61	225
torch.Tensor.floor_divide	452	0	452	93	107	51	201	0	0	0	0	232	19	201
torch.Tensor.floor_divide_	118	0	118	23	24	9	62	0	0	0	0	52	4	62
torch.Tensor.fmin	1096	0	1096	447	278	163	208	0	0	0	0	694	194	208
torch.Tensor.fmod_	747	0	747	174	212	161	200	0	0	0	0	385	162	200
torch.Tensor.frac	462	0	462	84	104	72	202	0	0	0	0	204	56	202
torch.Tensor.frac_	589	0	589	110	189	85	205	0	0	0	0	307	77	205
torch.Tensor.frexp	739	0	739	209	188	142	200	0	0	0	0	424	115	200
torch.Tensor.gather	665	0	665	168	89	177	231	0	0	0	0	383	51	231
torch.Tensor.gcd	670	0	670	168	135	155	212	0	0	0	0	418	40	212
torch.Tensor.gcd_	739	0	739	203	158	174	204	0	0	0	0	417	118	204
torch.Tensor.ge	697	0	697	200	161	134	202	0	0	0	0	384	111	202
torch.Tensor.ge_	694	0	694	108	281	96	209	0	0	0	0	393	92	209
torch.Tensor.geometric_	455	0	455	87	108	60	200	0	0	0	0	233	22	200
torch.Tensor.ger	520	0	520	180	100	38	202	0	0	0	0	287	31	202
torch.Tensor.get_device	573	0	573	107	160	92	214	0	0	0	0	268	91	214
torch.Tensor.greater	546	0	546	109	156	81	200	0	0	0	0	289	57	200
torch.Tensor.greater_	566	0	566	106	208	52	200	0	0	0	0	310	56	200
torch.Tensor.greater_equal	343	0	343	61	33	42	207	0	0	0	0	125	11	207
torch.Tensor.greater_equal_	812	0	812	210	240	155	207	0	0	0	0	427	178	207
torch.Tensor.gt	443	0	443	55	87	82	219	0	0	0	0	178	46	219
torch.Tensor.gt_	771	0	771	279	154	136	202	0	0	0	0	479	90	202
torch.Tensor.half	454	0	454	79	104	54	217	0	0	0	0	224	13	217
torch.Tensor.hardshrink	503	0	503	115	126	58	204	0	0	0	0	284	15	204
torch.Tensor.heaviside	1149	0	1149	473	327	148	201	0	0	0	0	785	163	201
torch.Tensor.histc	771	0	771	216	289	66	200	0	0	0	0	541	30	200
torch.Tensor.histogram	433	0	433	82	60	71	220	0	0	0	0	184	29	220
torch.Tensor.hsplit	850	0	850	90	347	202	211	0	0	0	0	583	56	211
torch.Tensor.hypot	712	0	712	322	63	125	202	0	0	0	0	455	55	202
torch.Tensor.hypot_	699	0	699	280	83	122	214	0	0	0	0	394	91	214
torch.Tensor.i0	565	0	565	124	153	80	208	0	0	0	0	276	81	208
torch.Tensor.i0_	476	0	476	38	167	63	208	0	0	0	0	234	34	208
torch.Tensor.igamma	400	0	400	80	64	48	208	0	0	0	0	152	40	208
torch.Tensor.igamma_	491	0	491	90	83	116	202	0	0	0	0	192	97	202
torch.Tensor.igammac	431	0	431	111	86	22	212	0	0	0	0	202	17	212
torch.Tensor.igammac_	521	0	521	123	114	77	207	0	0	0	0	282	32	207
torch.Tensor.index_add	1529	0	1529	511	383	430	205	0	0	0	0	1120	204	205
torch.Tensor.index_copy	3719	0	3719	1460	1028	1028	202	0	0	1	0	2317	1200	202
torch.Tensor.index_copy_	2309	0	2309	724	771	614	200	0	0	0	0	1364	745	200
torch.Tensor.index_fill	866	0	866	242	195	221	208	0	0	0	0	624	34	208
torch.Tensor.index_fill_	798	0	798	264	224	110	200	0	0	0	0	538	60	200
torch.Tensor.index_put_	1674	0	1674	347	547	576	204	0	0	0	0	1085	385	204
torch.Tensor.index_select	676	0	676	140	204	128	204	0	0	0	0	412	60	204
torch.Tensor.inner	434	0	434	77	52	95	210	0	0	0	0	206	18	210
torch.Tensor.int	471	0	471	34	117	119	201	0	0	0	0	208	59	204
torch.Tensor.inverse	573	0	573	127	116	116	214	0	0	0	0	279	80	214
torch.Tensor.is_complex	464	0	464	68	138	50	208	0	0	0	0	241	15	208
torch.Tensor.is_conj	723	0	723	148	180	192	203	0	0	0	0	391	129	203
torch.Tensor.is_contiguous	890	0	890	91	441	156	202	0	0	0	0	616	72	202
torch.Tensor.is_floating_point	477	0	477	52	52	169	204	0	0	0	0	244	28	205
torch.Tensor.is_inference	363	0	363	16	79	59	209	0	0	0	0	100	54	209
torch.Tensor.is_pinned	452	0	452	33	113	105	201	0	0	0	0	238	13	201
torch.Tensor.is_set_to	704	0	704	150	264	85	204	0	0	1	0	404	96	204
torch.Tensor.is_shared	541	0	541	63	187	91	200	0	0	0	0	301	40	200
torch.Tensor.is_signed	414	0	414	74	73	52	215	0	0	0	0	154	45	215
torch.Tensor.isclose	653	0	653	177	177	94	205	0	0	0	0	388	60	205
torch.Tensor.isfinite	511	0	511	57	145	106	203	0	0	0	0	256	52	203
torch.Tensor.isinf	533	0	533	84	114	133	202	0	0	0	0	291	40	202
torch.Tensor.isnan	307	0	307	23	53	21	210	0	0	0	0	75	22	210
torch.Tensor.isneginf	565	0	565	115	133	110	207	0	0	0	0	286	72	207
torch.Tensor.isposinf	335	0	335	14	27	74	220	0	0	0	0	90	25	220
torch.Tensor.isreal	484	0	484	65	132	73	214	0	0	0	0	215	55	214
torch.Tensor.item	1044	0	1044	129	446	265	201	0	0	3	0	619	224	201
torch.Tensor.kthvalue	775	0	775	198	259	100	218	0	0	0	0	533	24	218
torch.Tensor.lcm	691	0	691	187	191	110	203	0	0	0	0	446	42	203
torch.Tensor.lcm_	923	0	923	348	172	202	201	0	0	0	0	657	65	201
torch.Tensor.ldexp	553	0	553	205	88	58	202	0	0	0	0	324	27	202
torch.Tensor.ldexp_	757	0	757	268	157	131	201	0	0	0	0	449	107	201
torch.Tensor.le	431	0	431	87	85	52	207	0	0	0	0	188	36	207
torch.Tensor.le_	475	0	475	80	127	66	202	0	0	0	0	252	21	202
torch.Tensor.lerp	827	0	827	151	86	390	200	0	0	0	0	597	30	200
torch.Tensor.lerp_	751	0	751	192	238	101	220	0	0	0	0	475	56	220
torch.Tensor.less	464	0	464	105	85	74	200	0	0	0	0	249	15	200
torch.Tensor.less_	562	0	562	133	130	89	210	0	0	0	0	306	46	210
torch.Tensor.less_equal	487	0	487	98	105	71	213	0	0	0	0	204	70	213
torch.Tensor.less_equal_	732	0	732	179	141	210	202	0	0	0	0	354	176	202
torch.Tensor.lgamma	669	0	669	177	175	109	208	0	0	0	0	369	92	208
torch.Tensor.lgamma_	637	0	637	87	98	244	208	0	0	0	0	415	14	208
torch.Tensor.log	528	0	528	80	128	116	204	0	0	0	0	283	41	204
torch.Tensor.log10	466	0	466	53	119	85	209	0	0	0	0	213	44	209
torch.Tensor.log10_	665	0	665	137	227	101	200	0	0	0	0	371	94	200
torch.Tensor.log1p	543	0	543	90	145	101	207	0	0	0	0	296	40	207
torch.Tensor.log1p_	415	0	415	68	85	33	229	0	0	0	0	130	56	229
torch.Tensor.log2	358	0	358	56	68	34	200	0	0	0	0	124	34	200
torch.Tensor.log2_	425	0	425	75	74	74	202	0	0	0	0	150	73	202
torch.Tensor.log_	529	0	529	71	108	143	207	0	0	0	0	228	94	207
torch.Tensor.log_normal_	746	0	746	250	165	122	208	0	0	1	0	465	73	208
torch.Tensor.logaddexp	457	0	457	93	96	53	215	0	0	0	0	215	27	215
torch.Tensor.logaddexp2	965	0	965	212	245	301	207	0	0	0	0	699	59	207
torch.Tensor.logcumsumexp	551	0	551	158	109	60	224	0	0	0	0	283	44	224
torch.Tensor.logdet	666	0	666	152	148	161	205	0	0	0	0	389	72	205
torch.Tensor.logical_and	782	0	782	103	283	186	210	0	0	0	0	521	51	210
torch.Tensor.logical_and_	662	0	662	149	137	166	210	0	0	0	0	287	165	210
torch.Tensor.logical_not	892	0	892	67	157	464	204	0	0	0	0	656	32	204
torch.Tensor.logical_not_	243	0	243	49	86	54	54	0	0	0	0	108	81	54
torch.Tensor.logical_or	701	0	701	125	258	113	205	0	0	0	0	392	104	205
torch.Tensor.logical_or_	663	0	663	151	199	113	200	0	0	0	0	360	103	200
torch.Tensor.logical_xor	702	0	702	77	221	204	200	0	0	0	0	455	47	200
